负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
				法律与金融硕士	1年	30500	9月22-无明确截止日	雅思：总分7 写作7 其他6.5；托福：总分90 小分20：PTE：总分68 写作68 其他62	官方没有明确说明	官方没有明确说明	官方没有明确说明
			理学院	植物生物技术与企业硕士	1年	34000	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				科学计算和数据分析（天体物理学）硕士	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				科学技计算和数据分析（环境与地理信息系统）硕士	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				科学计算和数据分析（金融科技）硕士	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				数据科学硕士	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				数据科学硕士（数字人文）	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				数据科学硕士（生物信息学和生物建模）	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				数据科学硕士（环境数据科学）	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				数据科学硕士（社会分析）	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				数据科学硕士（健康）	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				神经多样性与发展硕士	1年		9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				认知神经科学硕士	1年	33250	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				研究方法（发展心理学）硕士	1年	27759	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				科学计算和数据分析硕士（计算机视觉和机器人学）	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				数据科学硕士（遗产）	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				高级计算机科学（人工智能）硕士	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				生物技术硕士	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				高级计算机科学硕士	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				科学计算和数据分析硕士（工程人工智能）	1年	34500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
			社会科学与健康学院	医学人类学硕士	1年	29500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				社会文化人类学硕士	1年	29500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				可持续发展、能源与发展硕士	1年	29500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				全球和地球健康硕士	1年	29500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				考古和博物馆物品保护硕士（论文）	2年	38000	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				法医考古学和人类学硕士	1年	30500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				人类生物考古学和人类学硕士	1年	30500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				考古和博物馆物品保护硕士（专业实务）	2年	38000	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				博物馆和文物研究硕士	1年	30000	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				国际文化遗产管理硕士	1年	29000	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				生物考古学硕士	1年	30500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				考古学硕士	1年	30500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				跨文化交流与教育硕士	1年	26000	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				教育学硕士	1年	26000	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				政治与国际关系（政治理论）硕士	1年	28750	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				东亚政治与国际关系硕士	1年		9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				国际关系硕士	1年	28750	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				国防、发展和外交硕士	1年	30000	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				预防冲突和建设和平硕士	1年	30000	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				社会学硕士	1年	29500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				社会工作硕士	1年	25500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				犯罪学与刑事司法硕士	1年	29500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				社会研究方法硕士	1年	27750	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				气候变化、社会与可持续未来硕士	1年	30000	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				风险、安全和政治硕士	1年	30000	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				体育活动、健康与社会硕士	1年	28750	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				气候、分险与社会硕士	1年	30000	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				气候、风险与社会理学硕士	1年	30000	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				环境危害与风险理学硕士	1年	30000	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				教育领导与变革硕士	1年	26000	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				中东政治与国际关系硕士	1年	28750	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
			艺术与人文学院	古典学硕士	1年	28500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				创意写作硕士	1年	28500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				医学人文硕士	1年	28500	9月22-无明确截止日	雅思：总分7 小分7；托福：总分90 小分20：PTE：总分68 小分68	官方没有明确说明	官方没有明确说明	官方没有明确说明
				英国文学研究硕士	1年	28500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				中世纪和早期现代研究硕士	1年	28500	9月22-无明确截止日	雅思：总分7 小分7；托福：总分90 小分20：PTE：总分68 小分68	官方没有明确说明	官方没有明确说明	官方没有明确说明
				历史学硕士	1年	28500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				社会经济史（研究方法）硕士	1年	27750	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				音乐学硕士	1年	28500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				哲学硕士	1年	28500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				翻译研究硕士	1年	26000	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				语言、文学和文化学硕士	1年	28500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				视觉文化硕士	1年	28500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				神学与宗教硕士	1年	28500	9月22-无明确截止日	雅思：总分7 小分6.5；托福：总分90 小分20：PTE：总分68 小分62	官方没有明确说明	官方没有明确说明	官方没有明确说明
				环境人文硕士	1年	28500	9月22-无明确截止日	雅思：总分6.5 小分6；托福：总分80 小分20：PTE：总分62 小分59	官方没有明确说明	官方没有明确说明	官方没有明确说明
	伦敦玛丽女王大学		健康科学教育研究院	医学教育硕士	1年	27250	3月1-12月15 9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
			医学研究院	生物医学科学（医学微生物学）硕士	1年	31450	9月29-次年9月1	雅思：总分7 小分6.5其他5.5；托福：总分100 S20 W24 R18 L17：PTE：总分76 小分61 其他59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				临床微生物学硕士	1年	31450	9月29-9月1	雅思：总分7 小分6.5其他5.5；托福：总分100 S20 W24 R18 L17：PTE：总分76 小分61 其他59	官方没有明确说明	官方没有明确说明	官方没有明确说明
				胃肠病学硕士	1年	27250	9月23-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				再生医学硕士	1年	29950	9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				神经科学硕士	1年	29950	9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
			历史学学院	历史学硕士	1年	27250	9月15-次年9月1	雅思：总分7 小分6.5其他5.5；托福：总分100 S21 W21 R19 L18：PTE：总分76 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				政治思想史和思想史硕士	1年	27250	9月15-次年9月1	雅思：总分7 小分6.5其他5.5；托福：总分100 S21 W21 R19 L18：PTE：总分76 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
			地理学学院	全球发展硕士	1年	27250	9月15-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				发展与国际商务硕士	1年	27250	9月15-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				水与环境管理硕士	1年	29950	9月15-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
			威廉哈威研究院	临床药物开发硕士	1年	33000	9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				危重症护理硕士	1年	37950	3月1-12月15 9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				法医科学硕士	1年	31450	9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				卫生保健研究方法硕士	1年	29950	9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				足科运动医学硕士	1年	29950	9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				运动与运动医学硕士--医疗	1年	29950	9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				运动和运动医学硕士--物理学	1年	29950	9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				临床内分泌学硕士	1年	31450	9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				基因组医学硕士（英国健康教育资助）	1年		3月1-12月15 9月29-次年9月1	雅思：总分6.5 小分6；托福：总分92 SW21 R19 L18：PTE：总分71 小分65	官方没有明确说明	官方没有明确说明	官方没有明确说明
				运动与运动医学硕士--物理（MACP）认证					官方没有明确说明	官方没有明确说明	官方没有明确说明
				麻醉与围术期医学硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
			工商管理学院	创意产业与艺术组织硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
				遗产管理硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
				会计与金融硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
				会计与管理硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
				商业分析硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
				国际商务硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
				国际财务管理硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
				国际人力资源管理硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
				管理学硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
				市场营销学硕士					官方没有明确说明	官方没有明确说明	官方没有明确说明
				数字营销硕士							
				国际市场营销与商业战略硕士							
				国际市场营销和消费者心理学硕士							
				市场营销与数字分析理学硕士			X`				
				市场营销与数字传播理学硕士							
				创意产业市场营销硕士							
				全球商业与可持续性硕士							
				供应链管理硕士							
				区块链管理与应用硕士							
				创业与创新管理硕士							
			工程与材料科学学院	高级材料科学与工程硕士							
				高级机械工程硕士							
				生物医学工程硕士							
				生物医学工程硕士（转换）							
				物理学硕士（欧洲硕士）							
				可持续能源系统硕士							
				工程管理硕士							
				高级航空航天工程硕士							
				高级化学工程硕士							
				机器人与人工智能硕士							
			巴特癌症研究生	高级材料科学与工程硕士							
				高级机械工程硕士							
			巴黎伦敦大学	城市历史与文化硕士							
			政治与国际关系学院	国际商务与政治学硕士							
				国际公共政策理学硕士							
				公共政策理学硕士							
				国际政治社会学硕士							
				国际政治经济学硕士							
			数学科学学院	数据分析硕士							
				金融数学硕士							
				数学理学硕士							
				精算科学与数据分析硕士							
				应用统计与数据科学硕士							
				风险分析硕士							
			沃尔夫森研究所	创意艺术与心理健康理学硕士							
				全球公共卫生与政策硕士							
				精神健康硕士：心理治疗							
				法医心理学和心理健康硕士							
				精神健康硕士：文化心理学和精神病学							
				公共心理健康理学硕士							
				法医精神健康硕士：研究与实践							
				健康数据实践硕士							
			法学院	艺术、商业和法律法学硕士							
				银行和金融法法律硕士							
				商业和公司法法律硕士							
				商业法双学位硕士（伦敦和新加坡）							
				比较与国际争端解决法律硕士							
				刑事司法法学硕士							
				环境法法学硕士							
				人权法学硕士							
				知识产权法法学硕士							
				国际商业法法学硕士							
				国际海事法硕士							
				法律和经济学硕士							
				法学硕士							
				国际公法法学硕士							
				监管与和合规法学硕士							
				税法硕士							
				技术、媒体和电信法法律硕士							
				监管与合规硕士							
				法律与金融硕士							
				知识产权管理硕士							
				能源与气候变化法硕士							
				国际税法硕士							
				法学硕士（巴黎）							
				索邦大学-玛丽女王双法学硕士							
				人工智能和法律法学硕士							
				知识产权、数据与法律双硕士							
				时尚法学硕士							
				国际贸易和经济法法学硕士							
			牙科研究所	牙科材料硕士							
				临床实践的牙科科学硕士							
				牙科技术硕士							
				实验性口腔病理学（口腔科学）硕士							
				微创牙科硕士							
				口腔生物学硕士							
			物理与化学科学学院	天体物理学硕士							
				化学研究硕士							
				人工智能与机器学习科学硕士							
				人工智能药物发现硕士							
			生物与行为科学学院	生物信息学硕士							
				植物和真菌分类学、多样性和保护硕士							
				生物多样性与保护硕士							
				心理学硕士：心理健康科学							
				生物科学人工智能硕士							
				心理学硕士（转换）							
				分子细胞生物学硕士							
				生物技术硕士							
			电子工程与计算机科学学院	高级电子和电气工程硕士							
				人工智能硕士							
				数据科学硕士							
				高级计算机科学硕士							
				计算机科学研究硕士							
				数据科学与人工智能硕士（转换课程）							
				视觉数据分析的机器学习硕士							
				声音与音乐计算硕士							
				电子工程研究型硕士							
				计算机科学（转换）硕士							
				人工智能硕士（转换）							
				计算机游戏开发人工智能硕士							
			经济与金融学院	银行与金融硕士							
				行为金融学硕士							
				公司金融学硕士							
				经济学硕士							
				金融学硕士							
				投资与金融硕士							
				投资银行学硕士							
				财富管理硕士							
				金融技术硕士							
			艺术学院	对外英语教学硕士							
				英国文学硕士							
				电影硕士							
				语言学硕士							
				戏剧与表演硕士							
				创意写作硕士							
				翻译与改编研究硕士							
				创意艺术与媒体硕士							
				语言学与人工智能硕士							
				数字媒体与全球文化硕士							
	圣安德鲁斯大学		化学学院	催化学硕士							
				化学科学硕士							
			历史学院	中世纪史硕士							
				中世纪研究硕士							
				早期现代和宗教改革史硕士							
				思想史硕士							
				伊朗研究硕士							
				法律和宪法研究硕士							
				现代史硕士							
				书籍：历史与分析技术硕士							
			古典学学院	古典学硕士							
			哲学、人类学与电影研究学院	电影研究硕士							
				IMACS：国际视听和电影研究硕士							
				哲学硕士							
			商学院	经济学硕士							
				金融和经济学硕士							
				金融学硕士							
				银行与金融硕士							
				金融与管理硕士							
				国际商务硕士							
				管理学硕士							
				市场营销硕士							
				创业学硕士							
				会计与金融学硕士							
				公共政策硕士							
			国际关系学院	中东、高加索和中亚安全研究硕士							
				和平建设与调解硕士							
				国际政治理论硕士							
				国际安全研究硕士							
				战略研究硕士							
				恐怖主义和政治暴力硕士							
			国际教育学院	国际教育硕士（1月入学）							
				对外英语教学硕士（1月入学）							
				国际教育硕士（9月入学）							
				对外英语教学硕士（9月入学）							
			地球和环境科学学院	地质化学硕士							
				环境科学硕士							
			心理学和神经科学学院	心智起源理学：进化与发展的视角							
				心理学转换硕士							
				心理学研究方法硕士							
			数学与统计学院	应用统计学和数据挖掘硕士							
				数学生物学硕士							
				数学硕士							
				统计生物学硕士							
				统计学硕士							
			物理和天文学学院	天体物理学硕士							
			现代语言学院	全球语言、文学与文化硕士							
				比较文学硕士							
				德语和比较文学硕士							
			生物学学院	动物行为学硕士							
				海洋生态系统管理硕士							
				海洋哺乳动物科学硕士							
			研究生院	博物馆和遗产研究硕士							
				全球社会和政治思想硕士							
				性别研究硕士							
				健康数据科学硕士							
				能源政策与金融硕士							
				全球可持续发展硕士							
			神学院	圣经语言和文学硕士							
				神圣音乐硕士							
				神学和艺术硕士							
			艺术史学院	艺术史硕士							
				摄影史硕士							
			英语学院	创意写作硕士							
				戏剧创作和剧本创作硕士							
				英语文学硕士：中世纪文学方向							
				英语文学硕士：现代和当代文学与文化硕士							
				英语文学硕士：莎士比亚与文艺复兴文学文化方向							
				英语文学硕士：浪漫主义和维多利亚时代研究方向							
				英语文学硕士：灵活方向							
			计算机科学学院	人工智能硕士							
				计算机科学硕士							
				计算和信息技术硕士							
				数据密集型分析硕士							
				人机交互硕士							
				软件工程硕士							
	巴斯大学		人文与社会科学学院	当代欧洲研究硕士：政治、政策和社会（欧洲硕士）							
				国际教育和全球化硕士							
				口译和笔译硕士（中文）							
				口译和笔译硕士（法语和德语）							
				口译和笔译（法语和意大利语）							
				口译和笔译硕士（法语和俄语）							
				口译和笔译硕士（法语和西班牙语）							
				口译和笔译硕士（德语和西班牙语）							
				口译和笔译硕士（意大利语和德语）							
				口译和笔译硕士（意大利语和西班牙语）							
				口译和笔译硕士（俄语和德语）							
				对外英语教学设施							
				翻译和专业语言技能硕士（法语和德语）							
				翻译和专业语言技能硕士（法语和意大利语）							
				翻译和专业语言技能硕士（法语和俄语）							
				翻译和专业语言技能硕士（发育和西班牙语）							
				翻译和专业语言技能硕士（法语）							
				翻译和专业语言技能硕士（德语和西班牙语）							
				翻译和专业语言技能硕士（德语）							
				翻译和专业语言技能硕士（意大利语和德语）							
				翻译和专业语言技能硕士（意大利语和西班牙语）							
				翻译和专业语言技能硕士（意大利语）							
				翻译和专业语言技能硕士俄语和意大利语）							
				翻译和专业语言技能硕士（俄语和西班牙语）							
				翻译和专业语言技能硕士（俄语）							
				翻译和专业语言技能硕士（西班牙语）							
				翻译和商务口译硕士（中文）							
				应用临床心理学硕士							
				应用经济学硕士							
				银行和金融市场的应用经济学硕士							
				应用经济学和经济行为硕士							
				经济学和金融学硕士							
				健康心理学硕士带实习							
				国际发展硕士							
				国际发展与冲突和人道主义行动硕士							
				国际发展与经济学硕士							
				国际发展、社会正义和可持续性硕士							
				经济学硕士							
				体育管理硕士							
				口译和笔译硕士（俄语和意大利语）							
				翻译和专业语言技能硕士（俄语和德语）							
				应用法医心理学硕士带实习							
				犯罪学硕士							
				国际发展管理硕士							
				国际发展与教育硕士							
				应用心理学硕士（转换）							
				国际关系硕士							
				国际安全国际关系硕士							
				性别政治国际关系硕士							
				外交政策国际关系硕士							
				欧洲政治国际关系硕士							
			工程与设计学院	汽车工程和电力推进硕士							
				历史建筑保护硕士							
				工程商业管理硕士							
				机器人学和自主系统硕士							
				汽车工程与商业管理硕士							
				汽车技术硕士							
				汽车技术与商业管理硕士							
				去碳化硕士							
				工程与设计人工智能硕士带实习							
				工程与设计人工智能硕士							
				可持续能源工程硕士							
				高级机械工程硕士							
				高级机械工程带实习							
				可持续能源工程硕士带实习							
				脱碳可持续工程硕士							
			理学院	计算机科学硕士							
				数据科学硕士							
				统计与数据科学硕士							
				数据科学硕士带实习							
				药物发现硕士							
				分子生物科学硕士（生物信息学）							
				分子生物科学硕士（医学生物科学）							
				分子生物科学硕士（微生物学）							
				生物技术（保健技术）硕士							
				生物技术（可持续生物技术）硕士							
				分子生物科学硕士（生物信息学）带实习							
				生物技术（保健技术）硕士带实习							
				分子生物科学硕士（微生物学）带实习							
				生物技术（可持续生物技术）硕士带实习							
				分子生物科学硕士（医学生物科学）带实习							
				生物技术硕士（创业学）							
				金融数学与数据科学硕士							
				高级机器学习硕士带实习							
				高级机器学习硕士							
				人工智能硕士带实习							
				人工智能硕士							
				统计与数据科学硕士带实习							
				金融数学与数据科学硕士（含专业实习）							
			管理学院	工商管理硕士							
				会计与金融硕士							
				商业分析硕士							
				创业与管理硕士							
				金融学硕士							
				金融与银行学硕士							
				金融与风险管理硕士							
				人力资源管理硕士							
				创新与技术管理硕士							
				国际管理硕士							
				管理学硕士							
				市场营销硕士							
				运营、物流和供应链管理硕士							
				可持续性与管理硕士							
				战略零售学硕士							
				市场营销硕士（一月入学）							
				金融学硕士（一月入学）							
小陈	爱丁堡	34	信息学院29	数据科学硕士 MSc Data Science	1年	45410	3.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	信息学院29	设计信息学硕士	1年	45410	5.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	信息学院29	人工智能硕士 MSc Data Science	1年	45410	3.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	信息学院29	认知科学硕士 MSc Cognitive Science	1年	45410	3.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	信息学院29	计算机科学硕士 MSc Computer Science	1年	45410	3.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	信息学院29	网络安全、隐私和信任硕士 MSc Cyber Security, Privacy and Trust	1年	45410	3.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	信息学院29	高性能计算硕士 MSc High Performance Computing	1年	39200	12.15 3.31 5.31	7/6 100/L20	无明确要求	无明确要求	无明确要求
